,0
0,Alabama
1,Alaska
2,Hawaii
3,Illinois
4,Indiana
5,Kentucky
6,Massachusetts
7,Minnesota
8,Mississippi
9,Missouri
10,Nebraska
11,Pennsylvania
12,Tennessee
13,Utah
14,Wisconsin
